epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5169797539710999,0.5186561346054077,0.0010000000474974513,0.9392186999320984,0.517090916633606,0.5137283205986023,0.5017361044883728,0.6822999119758606,0.7009596228599548,0.5017361044883728,1.0
1,0.5625,0.583984375,0.0010000000474974513,0.7811745405197144,0.550000011920929,0.6875,0.5017361044883728,0.6422362327575684,0.7051095366477966,0.5017361044883728,1.0
2,0.49385836720466614,0.4908585250377655,0.0010000000474974513,0.8900042176246643,0.49264705181121826,0.4851556718349457,0.5017361044883728,0.6462269425392151,0.9866065979003906,0.5017361044883728,1.0
3,0.5,0.5890688300132751,0.0010000000474974513,0.7551317811012268,0.6153846383094788,0.42105263471603394,0.5017361044883728,0.6373232007026672,1.0616698265075684,0.5017361044883728,1.0
4,0.49132949113845825,0.4843544065952301,0.0010000000474974513,0.8257824778556824,0.49299925565719604,0.4816414713859558,0.4982638955116272,0.5,3.774141550064087,0.0,0.0
5,0.28125,0.350649356842041,0.0010000000474974513,0.828406810760498,0.125,0.1818181872367859,0.4982638955116272,0.4982698857784271,2.4315848350524902,0.0,0.0
6,0.49602600932121277,0.5018160343170166,0.0005000000237487257,0.775398850440979,0.49649369716644287,0.5111913084983826,0.5017361044883728,0.5,3.6128017902374268,0.5017361044883728,1.0
7,0.53125,0.4470587968826294,0.0005000000237487257,0.8435846567153931,0.5,0.5333333611488342,0.5017361044883728,0.5,3.9113845825195312,0.5017361044883728,1.0
8,0.4841040372848511,0.4806147813796997,0.0005000000237487257,0.7775876522064209,0.48389458656311035,0.47760117053985596,0.546875,0.6286123991012573,0.6840391159057617,0.5351758599281311,0.7370242476463318
9,0.59375,0.630859375,0.0005000000237487257,0.6763298511505127,0.5882353186607361,0.625,0.4982638955116272,0.5804648399353027,1.0090349912643433,0.0,0.0
10,0.4963872730731964,0.5019413232803345,0.0005000000237487257,0.7557129859924316,0.4970414340496063,0.4848484992980957,0.5017361044883728,0.5,7.760847091674805,0.5017361044883728,1.0
11,0.4375,0.4027777910232544,0.0005000000237487257,0.8273760080337524,0.3571428656578064,0.3571428656578064,0.5017361044883728,0.5,9.938180923461914,0.5017361044883728,1.0
12,0.4992774426937103,0.4954470098018646,0.0005000000237487257,0.7465851902961731,0.49749821424484253,0.5047135353088379,0.5017361044883728,0.5,135.345703125,0.5017361044883728,1.0
13,0.4375,0.46536797285079956,0.0005000000237487257,0.7348863482475281,0.5882353186607361,0.4761904776096344,0.5017361044883728,0.5,147.18946838378906,0.5017361044883728,1.0
14,0.49963873624801636,0.49440133571624756,0.0002500000118743628,0.7430617213249207,0.49964210391044617,0.5043352842330933,0.5017361044883728,0.5,30.477108001708984,0.5017361044883728,1.0
15,0.46875,0.42578125,0.0002500000118743628,0.7999122142791748,0.46666666865348816,0.4375,0.5017361044883728,0.5,30.978904724121094,0.5017361044883728,1.0
16,0.4974710941314697,0.4895833730697632,0.0002500000118743628,0.737689733505249,0.49483776092529297,0.48729121685028076,0.4982638955116272,0.5,14.49263858795166,0.0,0.0
17,0.5,0.4468598961830139,0.0002500000118743628,0.7159351110458374,0.7058823704719543,0.52173912525177,0.4982638955116272,0.5,18.963153839111328,0.0,0.0
18,0.5097543597221375,0.5080051422119141,0.0002500000118743628,0.7248908281326294,0.5089605450630188,0.5137481689453125,0.5017361044883728,0.5,27.886966705322266,0.5017361044883728,1.0
0,0.8257142901420593,0.8903142213821411,0.009999999776482582,0.41042444109916687,0.8534883856773376,0.7864285707473755,0.49662160873413086,0.5,4.2529377937316895,0.0,0.0
1,0.8607142567634583,0.9222788214683533,0.009999999776482582,0.33495938777923584,0.8957680463790894,0.816428542137146,0.5135135054588318,0.58103346824646,4.453540802001953,1.0,0.033557046204805374
2,0.8696428537368774,0.9270012378692627,0.009999999776482582,0.32366111874580383,0.9014739990234375,0.8299999833106995,0.5506756901741028,0.7254199981689453,2.20918607711792,0.9444444179534912,0.11409395933151245
0,0.7301785945892334,0.8001869916915894,0.0005000000237487257,0.5495484471321106,0.761885404586792,0.6696428656578064,0.5008445978164673,0.5,3.528536081314087,0.0,0.0
1,0.791785717010498,0.8592550158500671,0.0005000000237487257,0.46242326498031616,0.8283762335777283,0.7360714077949524,0.5033783912658691,0.7407287359237671,2.416581153869629,1.0,0.005076142027974129
2,0.8026785850524902,0.8707603812217712,0.0005000000237487257,0.440295547246933,0.8518057465553284,0.7328571677207947,0.5008445978164673,0.5,9.570784568786621,0.0,0.0
3,0.833214282989502,0.8946284651756287,0.0005000000237487257,0.40436533093452454,0.867033839225769,0.7871428728103638,0.5422297120094299,0.606598973274231,6.560100078582764,1.0,0.08291032165288925
4,0.8349999785423279,0.8979517817497253,0.0005000000237487257,0.39540883898735046,0.8704581260681152,0.7871428728103638,0.5734797120094299,0.6356520056724548,1.7653268575668335,0.7239583134651184,0.23519457876682281
5,0.8453571200370789,0.9040382504463196,0.0005000000237487257,0.37797811627388,0.893409252166748,0.7842857241630554,0.625,0.6587742567062378,1.6451224088668823,0.5789473652839661,0.9120135307312012
6,0.8537499904632568,0.9123212099075317,0.0005000000237487257,0.35908961296081543,0.8969939947128296,0.7992857098579407,0.78125,0.8861534595489502,1.3184517621994019,1.0,0.5617597103118896
7,0.8500000238418579,0.9123589992523193,0.0005000000237487257,0.35865840315818787,0.9003267884254456,0.7871428728103638,0.6427364945411682,0.7368866205215454,3.494877576828003,1.0,0.2842639684677124
